Smiles,Energy (-315001),Vector
c1(C)c(COS(=O)(=O)NC)c(c2cc(COC(F)(F)F)cc3cNcc32)nc(C(F)(F)F)n1,-315180,"[5, 27, 15, 9, 11, 4, 4, 4]"
c1(C(F)(F)F)c(COS(=O)(=O)NC)c(c2cc(COCF)cc(O)c2)nc(C(F)(F)F)n1,-315177,"[5, 17, 15, 15, 7, 4, 4, 5]"
c1(N(C)C)c(COS(=O)(=O)NC)c(C2C(CC(=O)CC(F)(F)F)CCN2)nc(C(C)C)n1,-315172,"[5, 13, 11, 6, 11, 4, 4, 9]"
c1(N(=O)=O)c(COS(=O)(=O)NC)sc(C2C(COC(F)(F)F)CCN2)c1(C(F)(F)F),-315171,"[6, 13, 15, 13, 11, 4, 4, 4]"
c1(C(F)(F)F)c(COS(=O)(=O)NC)c(c2cc(COCF)cc3cNcc32)nc(C)n1,-315168,"[5, 27, 9, 15, 7, 4, 4, 5]"
c1([H])c(COS(=O)(=O)c6c(Cl)cccc6(Cl))c(C2CC(COC(=O)O)CN2)nc(C)n1,-315161,"[5, 1, 9, 1, 3, 8, 4, 4]"
c1(C(F)(F)F)c(COS(=O)(=O)NC)cc(C2C(COCN(C)C)CCN2)c(C(F)(F)F)n1,-315159,"[2, 13, 15, 15, 6, 4, 4, 5]"
c1(C(C)C)c(COS(=O)(=O)NC)c(C2=CC=C(COCNC)S2)nc(C(F)(F)F)n1,-315155,"[5, 7, 15, 11, 5, 4, 4, 5]"
n1(C)c(COS(=O)(=O)c6c(Cl)cccc6(Cl))cc(C2=C(COCO)C=CS2)c1(N),-315147,"[10, 9, 4, 9, 2, 8, 4, 5]"
c1(C(F)(F)F)c(COS(=O)(=O)NC)nc(C2=C(COCNC)C=CS2)c(NC)c1,-315145,"[3, 9, 5, 15, 5, 4, 4, 5]"
c1(C(F)(F)F)c(COS(=O)(=O)NC)nc(C2=C(COC(F)(F)F)C=CS2)c(C(=O)O)c1,-315143,"[3, 9, 3, 15, 11, 4, 4, 4]"
c1(CC)c(CNC(=O)S(=O)(=O)N(C)C)c(C2=NNCC2(COCC(F)(F)F))nc(C(C)C)n1,-315136,"[5, 11, 11, 10, 11, 5, 10, 5]"
c1(C(F)(F)F)c(COCS(=O)(=O)NC)nc(C2C(CON(C)C)CCN2)c(C(F)(F)F)c1,-315134,"[3, 13, 15, 15, 6, 4, 5, 4]"
c1(C(F)(F)F)c(COCS(=O)(=O)NC)c(C2CC(COC(F)(F)F)CNC2)nc(CC)n1,-315130,"[5, 23, 10, 15, 11, 4, 5, 4]"
c1(C(F)(F)F)c(COCS(=O)(=O)NC)c(C2CC(CON(C)C)NN2)nc(C(C)C)n1,-315128,"[5, 2, 11, 15, 6, 4, 5, 4]"
c1(CC)c(NCS(=O)(=O)NC)c(C2CC(COCN(C)C)CNC2)nc(C(F)(F)F)n1,-315128,"[5, 23, 15, 10, 6, 4, 1, 5]"
c1(N(C)C)c(NCS(=O)(=O)N(=O))cc(C2C(COCC(F)(F)F)CCN2)c(C(F)(F)F)c1,-315128,"[1, 13, 15, 6, 11, 7, 1, 5]"
c1(C(F)(F)F)c(COCS(=O)(=O)N(C)C)cc(C2C(COC(=O)O)CCN2)c(N(C)C)n1,-315127,"[2, 13, 6, 15, 3, 5, 5, 4]"
c1(C(F)(F)F)c(NCS(=O)(=O)N(C)C)nc(C2C(COCC(F)(F)F)CCN2)c(C)n1,-315127,"[4, 13, 9, 15, 11, 5, 1, 5]"
